申请学校,学位,专业,申请结果,入学年份,入学学期,通知时间,TOEFL,GRE,本科学校档次,本科专业,本科成绩和算法，排名,其他说明,url
University of Ottawa,Meng,Electrical and Computer Engineering,AD无奖,2016,Fall,2016-02-28,,"Overall: 321, 
                    V: 153 /
                    Q: 168 /
                    AW: 3",浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,自动化,3.4/4.3,无，水水的,http://bbs.gter.net/forum.php?mod=viewthread&tid=1958871&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,Meng,Computer Engineering Technician,offer,2016,Fall,2016-02-29,"Overall: 94, 
                    R: 27 /
                    L: 26 /
                    S: 23 /
                    W: 18","Overall: 315, 
                    V: 151 /
                    Q: 164 /
                    AW: 3",双非,应用物理,3.67/5，排名5/48,"EI二作一篇；
大学生数学建模竞赛全国二等奖 ；
若干校内奖学金

（拿到的offer是 Electrical and computer engineering的non-these program， 选项中没有看到）",http://bbs.gter.net/forum.php?mod=viewthread&tid=1950789&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,Meng,SYDE,offer,2016,Fall,2016-03-30,,,滑铁卢大学,Computer Science,GPA 3.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961518&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Victoria,MA,"Educational Studies(social, cultural, foundational studies)",AD小奖,2016,Fall,2016-03-15,,,双非,英语（师范）,87,本科学校巨烂，江苏某不知名二本师范类院校，哈哈不要拆穿我TAT 套了一个nice教授，系里发来的offer上也说最后是她带我。校内一、二等奖学金若干，国家励志奖学金，全国教育科研成果一等奖，全国大学生英语竞赛二等奖；水论文两篇（唯一作者）、全国教师重点课题子课题第二作者（跟老师混的）校级课题一个（和教育心理有点关联）有澳洲暑期交流经历（省政府境外学习奖学金出资）、青奥会、国际马拉松志愿者若干、自办教育微公益协会（创始人之一）、实习经历6个月。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1957721&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Simon Fraser University,MS,Computer Science,offer,2016,Fall,2016-02-17,"Overall: 102, 
                    R: 30 /
                    L: 25 /
                    S: 23 /
                    W: 24",,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,CS,88,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1945544&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Ottawa,Meng,Engineering Management,被拒,2016,Fall,2016-03-23,,,双非,产品质量工程,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1959586&extra=page%3D2%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Toronto,MEd,language and literacies Education,AD无奖,2016,Fall,2016-03-23,,,双非,对外汉语,80刚出头,没有奖学金，没有牛推，只有一些没分量的志愿者活动。不过有3年英语教学经验，包括中学英语和雅思教学,http://bbs.gter.net/forum.php?mod=viewthread&tid=1959591&extra=page%3D2%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,MA,DIGITAL MEDIA,AD无奖,2015,Fall,2015-03-25,,,,Advertising,3.56/4.0,因为是美国本科，没有考语言成绩,http://bbs.gter.net/forum.php?mod=viewthread&tid=1825467&extra=page%3D2%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,Meng,ECE (Thesis),AD小奖,2016,Fall,2016-03-01,"Overall: 107, 
                    R: 27 /
                    L: 29 /
                    S: 24 /
                    W: 27","Overall: 317, 
                    V: 147 /
                    Q: 170 /
                    AW: 3",双非,通信工程,89,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1959835&extra=page%3D2%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
EIT Digital,MS,DMT,AD小奖,2016,Fall,2016-03-23,"Overall: 107, 
                    R: 27 /
                    L: 29 /
                    S: 24 /
                    W: 27","Overall: 317, 
                    V: 147 /
                    Q: 170 /
                    AW: 3",双非,通信工程,89,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1959835&extra=page%3D2%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Wilfrid Laurier University,Master of Finance,Finance,AD无奖,2015,Fall,2015-03-12,,,211,统计,3.1/4,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816069&extra=page%3D2%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Toronto 多伦多大学,MEd,adult education,offer,2016,Fall,2016-03-21,"Overall: 98, 
                    R: 27 /
                    L: 21 /
                    S: 23 /
                    W: 27",,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,英语,3.6/4 87/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1959205&extra=page%3D2%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
