申请学校,学位,专业,申请结果,入学年份,入学学期,通知时间,IELTS,本科学校档次,本科专业,本科成绩和算法，排名,其他说明,url
University College London,MS,International public policy,AD无奖,2015,Spring,2015-02-20,,211 & 985,新闻学,3.4/4,美国交流过（推荐信也一起了）；NGO组织和支教团队搬砖；芒果台实习；一些校内小奖，无奖学金和学生会经历,http://bbs.gter.net/forum.php?mod=viewthread&tid=1821382&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Warwick,MA,intercultural comm,AD无奖,2015,Spring,2014-12-20,,211 & 985,新闻学,3.4/4,美国交流过（推荐信也一起了）；NGO组织和支教团队搬砖；芒果台实习；一些校内小奖，无奖学金和学生会经历,http://bbs.gter.net/forum.php?mod=viewthread&tid=1821382&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Kings College London,MA,digital asset&media manage,AD无奖,2015,Spring,2015-04-02,,211 & 985,新闻学,3.4/4,美国交流过（推荐信也一起了）；NGO组织和支教团队搬砖；芒果台实习；一些校内小奖，无奖学金和学生会经历,http://bbs.gter.net/forum.php?mod=viewthread&tid=1821382&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Queens University Belfast,PhD,PhD in Interpreting,AD小奖,2015,Fall,2015-08-06,,非211/985,英语,87/100,本科校三好学生、校优秀毕业生，多次获得一等奖学金，国家级竞赛奖三项，有丰富口译、教学经验，发表论文8篇。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1870462&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Birkbeck University of London,PhD,Integrated PhD in TESOL,offer,2015,Fall,2015-08-03,,非211/985,英语,87/100,本科校三好学生、校优秀毕业生，多次获得一等奖学金，国家级竞赛奖三项，有丰富口译、教学经验，发表论文8篇。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1870462&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bath,PhD,International Relations,offer,2015,Fall,2015-07-20,,非211/985,英语,87/100,本科校三好学生、校优秀毕业生，多次获得一等奖学金，国家级竞赛奖三项，有丰富口译、教学经验，发表论文8篇。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1870462&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of York,MA,tesol,offer,2015,Fall,2014-11-01,,双非,英语专业,专业前10，GPA 3.3,两个教授的推荐信，两个教育相关的实习，就是去教育机构当英语老师。没有论文，校内各种活动和小奖项比较多，两年的校内优秀学生奖学金。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816572&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Sheffield,MA,tesol,offer,2015,Fall,2014-10-31,,双非,英语专业,专业前10，GPA 3.3,两个教授的推荐信，两个教育相关的实习，就是去教育机构当英语老师。没有论文，校内各种活动和小奖项比较多，两年的校内优秀学生奖学金。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816572&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Newcastle University,MA,tesol,offer,2015,Fall,2014-10-10,,双非,英语专业,专业前10，GPA 3.3,两个教授的推荐信，两个教育相关的实习，就是去教育机构当英语老师。没有论文，校内各种活动和小奖项比较多，两年的校内优秀学生奖学金。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816572&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Hong Kong Baptist University,MA,HK:Language Studies（MA）（FT / PT）,offer,2015,Fall,2015-03-10,,双非,英语专业,专业前10，GPA 3.3,两个教授的推荐信，两个教育相关的实习，就是去教育机构当英语老师。没有论文，校内各种活动和小奖项比较多，两年的校内优秀学生奖学金。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816572&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Lancaster University,MA,Teaching English as a Second Language,被拒,2015,Fall,2014-11-30,,双非,英语专业,专业前10，GPA 3.3,两个教授的推荐信，两个教育相关的实习，就是去教育机构当英语老师。没有论文，校内各种活动和小奖项比较多，两年的校内优秀学生奖学金。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816572&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Cambridge,MASt,Mathematics,AD无奖,2015,Fall,2015-04-07,,,"mathematics, economics","3.89, with honors and high distinction",,http://bbs.gter.net/forum.php?mod=viewthread&tid=1818963&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
City University of Hong Kong,MS,HK:Construction Management (Real Estate Project Management)（MSc）（FT / PT）,offer,2015,Fall,2015-03-24,,双非,房地产经营管理,86.23,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1815427&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Reading,MS,Construction Management,offer,2015,Fall,2015-03-19,,双非,房地产经营管理,86.23,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1815427&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Glasgow,MS,Real Estate,offer,2015,Fall,2015-03-16,,双非,房地产经营管理,86.23,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1815427&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MS,Real Estate asset management,offer,2015,Fall,2015-03-24,,双非,房地产经营管理,86.23,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1815427&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MA,Teaching English as a Second Language,offer,2015,Fall,2015-01-10,,211,English Education,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1853430&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Durham University,MA,Teaching English as a Second Language,offer,2015,Fall,2014-10-30,,211,English Education,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1853430&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Leeds,MA,Teaching English as a Second Language,offer,2015,Fall,2014-11-12,,211,English Education,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1853430&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Newcastle University,MA,Teaching English as a Second Language,offer,2015,Fall,2014-10-18,,211,English Education,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1853430&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
York University,MA,Teaching English as a Second Language,offer,2015,Fall,2014-11-27,,211,English Education,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1853430&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Chinese University of Hong Kong,MEd,HK:教育硕士（课程方向）,AD无奖,2015,Fall,2015-04-20,,双非,汉语言文学,87.84（申请时的绩点）,"一封教育学院老师推荐
一封兼职的教育机构雇主推荐
无牛推

两篇论文，一篇现当代的，一篇社会工作的，呵呵，比较杂。

没有特别大的奖，只有类似一等奖学金、三好学生之类的校级奖项。

学生活动、社团比赛有一些。

总共香港申了5个专业，中大的通识教育、教育硕士、性别研究和社会政策，城大的语文教育，性别研究把我默拒了，社会政策我没有去面试（因为此时我已从了别的，面试地点在深圳实在无心飞一趟了）；应该申着玩，在51offer上免费申了杜伦、伯明翰和格拉斯哥，杜伦少交了材料被拒了，其他都录了。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1841658&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
City University of Hong Kong,MA,HK:汉语言文学（教师教育方向）,AD无奖,2015,Fall,2015-05-19,,双非,汉语言文学,87.84（申请时的绩点）,"一封教育学院老师推荐
一封兼职的教育机构雇主推荐
无牛推

两篇论文，一篇现当代的，一篇社会工作的，呵呵，比较杂。

没有特别大的奖，只有类似一等奖学金、三好学生之类的校级奖项。

学生活动、社团比赛有一些。

总共香港申了5个专业，中大的通识教育、教育硕士、性别研究和社会政策，城大的语文教育，性别研究把我默拒了，社会政策我没有去面试（因为此时我已从了别的，面试地点在深圳实在无心飞一趟了）；应该申着玩，在51offer上免费申了杜伦、伯明翰和格拉斯哥，杜伦少交了材料被拒了，其他都录了。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1841658&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Birmingham,MA,国际教育,offer,2015,Fall,2015-05-13,,双非,汉语言文学,87.84（申请时的绩点）,"一封教育学院老师推荐
一封兼职的教育机构雇主推荐
无牛推

两篇论文，一篇现当代的，一篇社会工作的，呵呵，比较杂。

没有特别大的奖，只有类似一等奖学金、三好学生之类的校级奖项。

学生活动、社团比赛有一些。

总共香港申了5个专业，中大的通识教育、教育硕士、性别研究和社会政策，城大的语文教育，性别研究把我默拒了，社会政策我没有去面试（因为此时我已从了别的，面试地点在深圳实在无心飞一趟了）；应该申着玩，在51offer上免费申了杜伦、伯明翰和格拉斯哥，杜伦少交了材料被拒了，其他都录了。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1841658&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Glasgow,MA,Educational Research,offer,2015,Fall,2014-12-24,,双非,汉语言文学,87.84（申请时的绩点）,"一封教育学院老师推荐
一封兼职的教育机构雇主推荐
无牛推

两篇论文，一篇现当代的，一篇社会工作的，呵呵，比较杂。

没有特别大的奖，只有类似一等奖学金、三好学生之类的校级奖项。

学生活动、社团比赛有一些。

总共香港申了5个专业，中大的通识教育、教育硕士、性别研究和社会政策，城大的语文教育，性别研究把我默拒了，社会政策我没有去面试（因为此时我已从了别的，面试地点在深圳实在无心飞一趟了）；应该申着玩，在51offer上免费申了杜伦、伯明翰和格拉斯哥，杜伦少交了材料被拒了，其他都录了。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1841658&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Chinese University of Hong Kong,MS,HK:通识教育,offer,2015,Fall,2015-01-20,,双非,汉语言文学,87.84（申请时的绩点）,"一封教育学院老师推荐
一封兼职的教育机构雇主推荐
无牛推

两篇论文，一篇现当代的，一篇社会工作的，呵呵，比较杂。

没有特别大的奖，只有类似一等奖学金、三好学生之类的校级奖项。

学生活动、社团比赛有一些。

总共香港申了5个专业，中大的通识教育、教育硕士、性别研究和社会政策，城大的语文教育，性别研究把我默拒了，社会政策我没有去面试（因为此时我已从了别的，面试地点在深圳实在无心飞一趟了）；应该申着玩，在51offer上免费申了杜伦、伯明翰和格拉斯哥，杜伦少交了材料被拒了，其他都录了。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1841658&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Warwick,MS,Marketing and Strategy,offer,2015,Fall,2014-12-12,,,HRM,83.4,三个水推荐。参与过中欧商学院案例编写，两个水项目，做过助教都是跟MKT相关的。有一个欧洲企业的HR实习,http://bbs.gter.net/forum.php?mod=viewthread&tid=1792382&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Warwick,MS,HRM and Employment relations,offer,2015,Fall,2014-12-09,,,HRM,83.4,三个水推荐。参与过中欧商学院案例编写，两个水项目，做过助教都是跟MKT相关的。有一个欧洲企业的HR实习,http://bbs.gter.net/forum.php?mod=viewthread&tid=1792382&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MS,Human Resources Management and Industrial Relations,offer,2015,Fall,2014-12-11,,,HRM,83.4,三个水推荐。参与过中欧商学院案例编写，两个水项目，做过助教都是跟MKT相关的。有一个欧洲企业的HR实习,http://bbs.gter.net/forum.php?mod=viewthread&tid=1792382&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MS,Innovation Management and Entrepreneurship,offer,2015,Fall,2014-12-09,,,HRM,83.4,三个水推荐。参与过中欧商学院案例编写，两个水项目，做过助教都是跟MKT相关的。有一个欧洲企业的HR实习,http://bbs.gter.net/forum.php?mod=viewthread&tid=1792382&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Delft University of Technology,MS,Design for Interaction,AD无奖,2015,Fall,2015-02-23,,211,工业设计,GPA 3.79 均分87,"竞赛什么都没有，作品集里面有两个Delft的工作坊项目。其中一个是第一名。

CV里面写了写在学校因为成绩比较好得的两个奖学金",http://bbs.gter.net/forum.php?mod=viewthread&tid=1819040&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Technische Universiteit Eindhoven,MS,Industrial design,AD无奖,2015,Fall,2015-03-31,,211,工业设计,GPA 3.79 均分87,"竞赛什么都没有，作品集里面有两个Delft的工作坊项目。其中一个是第一名。

CV里面写了写在学校因为成绩比较好得的两个奖学金",http://bbs.gter.net/forum.php?mod=viewthread&tid=1819040&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Aalto University,MA,Collaborative and Industrial Design,被拒,2015,Fall,2015-03-13,,211,工业设计,GPA 3.79 均分87,"竞赛什么都没有，作品集里面有两个Delft的工作坊项目。其中一个是第一名。

CV里面写了写在学校因为成绩比较好得的两个奖学金",http://bbs.gter.net/forum.php?mod=viewthread&tid=1819040&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MFA,Industrial and Product Design,AD无奖,2015,Fall,2015-04-07,,211,工业设计,GPA 3.79 均分87,"竞赛什么都没有，作品集里面有两个Delft的工作坊项目。其中一个是第一名。

CV里面写了写在学校因为成绩比较好得的两个奖学金",http://bbs.gter.net/forum.php?mod=viewthread&tid=1819040&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MA,Urban Design,AD无奖,2015,Fall,2015-01-26,,211 & 985,景观建筑设计,80,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1808223&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Sheffield,MA,Landscape Architecture,AD无奖,2015,Fall,2015-01-15,,211 & 985,景观建筑设计,80,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1808223&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Cardiff University,MA,Urban Design,AD无奖,2015,Fall,2014-12-01,,211 & 985,景观建筑设计,80,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1808223&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Newcastle University,MA,Arts Landscape Architecture Studies,AD无奖,2015,Fall,2015-01-15,,211 & 985,景观建筑设计,80,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1808223&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
英国伦敦大学学院,MA,"Linguistics, Interpretation, and Translation",offer,2014,Fall,2013-02-11,,国外高校（含港澳台）,语言学,N/A,unconditional offer是今年九月,http://bbs.gter.net/forum.php?mod=viewthread&tid=1714546&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of St Andrews,MS,Optics,AD无奖,2015,Fall,2014-11-11,,211,光信息科学与技术,85/100，专业第一,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807858&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Nottingham,MS,Optics,AD无奖,2015,Fall,2014-11-05,,211,光信息科学与技术,85/100，专业第一,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807858&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bristol,MS,Communications Technicians,AD无奖,2015,Fall,2014-11-24,,211,光信息科学与技术,85/100，专业第一,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807858&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University Of Southampton,MS,Optics,AD无奖,2015,Fall,2014-10-22,,211,光信息科学与技术,85/100，专业第一,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807858&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Imperial College London,MS,Optics,AD无奖,2015,Fall,2015-01-18,,211,光信息科学与技术,85/100，专业第一,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807858&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MS,Environmental Protection and Management,AD小奖,2015,Fall,2014-12-03,,211,环境工程,89/100  Rank:1/90,1个专利（在审），1篇论文（在审），3个项目（专业方面的）,http://bbs.gter.net/forum.php?mod=viewthread&tid=1792942&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bristol,MS,Water and Environmental Management,AD无奖,2015,Fall,2014-12-05,,211,环境工程,89/100  Rank:1/90,1个专利（在审），1篇论文（在审），3个项目（专业方面的）,http://bbs.gter.net/forum.php?mod=viewthread&tid=1792942&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Surrey,MA,商务口笔译,offer,2015,Fall,2015-06-08,,双非,翻译,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1841234&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Essex,MA,中英口译,offer,2015,Fall,2015-06-12,,双非,翻译,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1841234&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Cambridge,MPhil,Educational Research,AD无奖,2015,Fall,2015-02-16,,211 & 985,英语,90/100，2/152,实习经历比较多 交换一学期～以后会好好写一篇总结文的～我只申请了五所学校现在只有哥大还没出来其他都拿到啦～我觉得我的gt那么差 主要就是ps，推荐信，还有经历比较多吧～,http://bbs.gter.net/forum.php?mod=viewthread&tid=1809008&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Oxford,MS,Childhood Development and Education,AD无奖,2015,Fall,2015-03-06,,211 & 985,英语,90/100，2/152,实习经历比较多 交换一学期～以后会好好写一篇总结文的～我只申请了五所学校现在只有哥大还没出来其他都拿到啦～我觉得我的gt那么差 主要就是ps，推荐信，还有经历比较多吧～,http://bbs.gter.net/forum.php?mod=viewthread&tid=1809008&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Duke University,MA,Graduate Liberal Studies,AD小奖,2015,Fall,2015-03-06,,211 & 985,英语,90/100，2/152,实习经历比较多 交换一学期～以后会好好写一篇总结文的～我只申请了五所学校现在只有哥大还没出来其他都拿到啦～我觉得我的gt那么差 主要就是ps，推荐信，还有经历比较多吧～,http://bbs.gter.net/forum.php?mod=viewthread&tid=1809008&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Pennsylvania,MEd,Reading/Writing/Literacy,AD无奖,2015,Fall,2015-03-06,,211 & 985,英语,90/100，2/152,实习经历比较多 交换一学期～以后会好好写一篇总结文的～我只申请了五所学校现在只有哥大还没出来其他都拿到啦～我觉得我的gt那么差 主要就是ps，推荐信，还有经历比较多吧～,http://bbs.gter.net/forum.php?mod=viewthread&tid=1809008&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Cambridge,MPhil,Economics and Econometrics,AD无奖,2015,Fall,2015-01-30,,,经济，数学,93.8%，percentage，1,水研究论文一篇，有RA经历，无牛推。没有高级的得奖记录,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807309&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
London School of Economics and Political,MSc,Economics and Econometrics,AD小奖,2015,Fall,2015-01-29,,,经济，数学,93.8%，percentage，1,水研究论文一篇，有RA经历，无牛推。没有高级的得奖记录,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807309&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Toronto,MA,Economics and Econometrics,AD小奖,2015,Fall,2015-02-25,,,经济，数学,93.8%，percentage，1,水研究论文一篇，有RA经历，无牛推。没有高级的得奖记录,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807309&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Chicago,PhD,Economics and Econometrics,offer,2015,Fall,2015-02-25,,,经济，数学,93.8%，percentage，1,水研究论文一篇，有RA经历，无牛推。没有高级的得奖记录,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807309&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Yale University,PhD,Economics and Econometrics,被拒,2015,Fall,2015-02-20,,,经济，数学,93.8%，percentage，1,水研究论文一篇，有RA经历，无牛推。没有高级的得奖记录,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807309&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Massachusetts Institute of Technology,PhD,Economics and Econometrics,被拒,2015,Fall,2015-02-21,,,经济，数学,93.8%，percentage，1,水研究论文一篇，有RA经历，无牛推。没有高级的得奖记录,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807309&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Princeton University,PhD,Economics and Econometrics,被拒,2015,Fall,2015-02-24,,,经济，数学,93.8%，percentage，1,水研究论文一篇，有RA经历，无牛推。没有高级的得奖记录,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807309&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Stanford University,PhD,Economics and Econometrics,被拒,2015,Fall,2015-02-27,,,经济，数学,93.8%，percentage，1,水研究论文一篇，有RA经历，无牛推。没有高级的得奖记录,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807309&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
"Institute of Education, University of Lo",MA,Music education,offer,2015,Fall,2015-06-12,,首都师范大学,教育,3.2/4 排名不详,"除了专业直接对口,一无所长",http://bbs.gter.net/forum.php?mod=viewthread&tid=1846245&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Cambridge,MASt,Mathematics,AD无奖,2015,Fall,2015-04-07,,,"mathematics, economics","3.89, with honors and high distinction",,http://bbs.gter.net/forum.php?mod=viewthread&tid=1818954&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Delft University of Technology,MS,Architecture,AD无奖,2015,Fall,2015-02-23,,211 & 985,建筑,82.3  29/72,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1822811&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MArch,Architecture Part2,AD无奖,2015,Fall,2015-02-05,,211 & 985,建筑,82.3  29/72,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1822811&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MArch,Architecture Part2,AD无奖,2015,Fall,2015-04-13,,211 & 985,建筑,82.3  29/72,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1822811&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Politecnico di Milano,MArch,Architecture,AD无奖,2015,Fall,2014-11-30,,211 & 985,建筑,82.3  29/72,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1822811&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Chinese University of Hong Kong,MS,HK:Finance,AD无奖,2015,Fall,2015-02-17,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,87/100,实习还满多，其他没什么了,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807386&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
London School of Economics and Political,MS,mim,AD无奖,2015,Fall,2015-02-11,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,87/100,实习还满多，其他没什么了,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807386&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Imperial College London,MS,Finance,被拒,2015,Fall,2015-01-28,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,87/100,实习还满多，其他没什么了,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807386&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Massachusetts Institute of Technology,MS,MFIN,AD无奖,2015,Fall,2015-03-09,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,87/100,实习还满多，其他没什么了,http://bbs.gter.net/forum.php?mod=viewthread&tid=1807386&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Reading,MS,"International Security, Investment and Banking",offer,2016,Fall,2015-10-16,,,Finance,87,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1883954&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MA,Conference Interpreting,offer,2015,Fall,2015-01-17,,双非,英语,89.4（100）,无牛推，无实习，一些英语演讲，辩论，口译的奖,http://bbs.gter.net/forum.php?mod=viewthread&tid=1801402&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Westminster,MA,Translation and Interpreting,offer,2015,Fall,2015-01-28,,双非,英语,89.4（100）,无牛推，无实习，一些英语演讲，辩论，口译的奖,http://bbs.gter.net/forum.php?mod=viewthread&tid=1801402&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,PhD,Materials Engineering,offer,2015,Fall,2015-03-10,,华中科技大学,机械大类专业,3.63/4.0,"文章：4期刊 & 4会议；
推荐：Master老板(Mphil@HKU) & Research Assistant老板(RA@CUHK)；
项目：2@BEng(part-time) & 1@RA(full-time)；
竞赛获奖：若干；
社会活动：若干；
奖学金：若干(本科期间无国奖，有一个UK的论文奖)",http://bbs.gter.net/forum.php?mod=viewthread&tid=1823335&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,PhD,Mechanical Engineering,offer,2015,Fall,2015-03-11,,华中科技大学,机械大类专业,3.63/4.0,"文章：4期刊 & 4会议；
推荐：Master老板(Mphil@HKU) & Research Assistant老板(RA@CUHK)；
项目：2@BEng(part-time) & 1@RA(full-time)；
竞赛获奖：若干；
社会活动：若干；
奖学金：若干(本科期间无国奖，有一个UK的论文奖)",http://bbs.gter.net/forum.php?mod=viewthread&tid=1823335&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
National University of Singapore,LLM,corporate and financial service law,AD无奖,2015,Fall,2015-04-01,,双非,民商法,3.67/4,水水地在律所，法院实习过一阵子；参加过一个全国的Moot，二等奖吧；还有一个省级创新实验项目，发表水论文一篇；拿过一次国家奖学金，两次校内一等奖；在大一时候建立过一个志愿者NGO，哈哈哈，特别有意思，不过现在没有坚持下去了。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1817343&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
National University of Singapore,LLM,国际商法,AD无奖,2015,Fall,2015-03-12,,双非,民商法,3.67/4,水水地在律所，法院实习过一阵子；参加过一个全国的Moot，二等奖吧；还有一个省级创新实验项目，发表水论文一篇；拿过一次国家奖学金，两次校内一等奖；在大一时候建立过一个志愿者NGO，哈哈哈，特别有意思，不过现在没有坚持下去了。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1817343&extra=page%3D14%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
